Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
FO5110 AEP-IGR,02/01/2023,20:00,02/02/2023,01:10,False,FO5110 AEP-IGR /  FO5111 IGR-EZE,Aeroparque Internacional Jorge Newbery,False
FO5952 AEP-FLN,02/04/2023,17:10,02/04/2023,23:15,False,FO5952 AEP-FLN /  FO5953 FLN-EZE,Aeroparque Internacional Jorge Newbery,False
FO5274 AEP-BRC,02/06/2023,17:05,02/06/2023,23:00,False,FO5274 AEP-BRC /  FO5275 BRC-EZE,Aeroparque Internacional Jorge Newbery,False
FO5164 AEP-SLA,02/07/2023,17:45,02/07/2023,23:30,False,FO5164 AEP-SLA /  FO5163 SLA-EZE,Aeroparque Internacional Jorge Newbery,False
FO5908 EZE-GIG,02/08/2023,22:40,02/09/2023,07:05,False,FO5908 EZE-GIG /  FO5907 GIG-EZE,Ezeiza International Airport,False
GUARDIA,02/10/2023,00:01,02/10/2023,23:59,False,GUARDIA,,False
FO5016 AEP-COR,02/12/2023,13:20,02/12/2023,23:10,False,FO5016 AEP-COR /  FO5444 COR-BRC /  FO5445 BRC-COR /  FO5017 COR-AEP,Aeroparque Internacional Jorge Newbery,False
FO5190 AEP-JUJ,02/13/2023,17:35,02/13/2023,23:30,False,FO5190 AEP-JUJ /  FO5191 JUJ-EZE,Aeroparque Internacional Jorge Newbery,False
FO5996 EZE-USH,02/15/2023,13:30,02/15/2023,22:40,False,FO5996 EZE-USH /  FO7777 USH-EZE,Ezeiza International Airport,False
FO5160 EZE-SLA,02/17/2023,07:25,02/17/2023,13:10,False,FO5160 EZE-SLA /  FO5161 SLA-AEP,Ezeiza International Airport,False
FO5042 EZE-USH,02/18/2023,05:00,02/18/2023,14:05,False,FO5042 EZE-USH /  FO5043 USH-AEP,Ezeiza International Airport,False
FO5052 EZE-MDZ,02/19/2023,09:35,02/19/2023,14:35,False,FO5052 EZE-MDZ /  FO5053 MDZ-AEP,Ezeiza International Airport,False
GUARDIA,02/22/2023,00:01,02/22/2023,23:59,False,GUARDIA,,False
FO5550 EZE-FTE,02/24/2023,06:55,02/24/2023,15:15,False,FO5550 EZE-FTE /  FO5551 FTE-EZE,Ezeiza International Airport,False
FO5300 AEP-NQN,02/28/2023,06:35,02/28/2023,17:10,False,FO5300 AEP-NQN /  FO5301 NQN-AEP /  FO5322 AEP-PMY /  FO5323 PMY-AEP,Aeroparque Internacional Jorge Newbery,False
